-230,-214,406
-236,-359,535
-242,-279,353
-193,-291,328
-199,-222,359
-142,-68,441
-62,-246,521
-158,-197,812
-289,-457,1189
-468,-521,1347
-597,-888,1480
-564,-806,1435
-511,-781,1523
-501,-697,1423
-529,-597,1371
-484,-357,1035
-398,-212,773
-414,-429,667
-363,-156,435
-306,-308,427
-300,-78,496
-324,-125,519
-330,-193,724
-376,-134,761
-,-,-
-95,-15,785
-173,-191,951
-125,-220,673
31,-121,570
-93,-269,833
-70,-208,453
-25,-148,757
-166,-398,714
-33,-189,783
-259,-421,1298
-259,-287,1179
-277,-500,1492
-277,-505,1552
-261,-529,1464
-183,-525,1236
-115,-400,1039
-130,-296,923
-121,-363,744
-148,-267,679
-195,-289,660
-158,-146,480
-154,-269,570
-203,-166,439
-175,-187,404
-175,-185,445
-154,-128,433
-132,-169,580
-214,-416,656
-263,-388,916
-421,-537,1232
-570,-675,1449
-623,-789,1558
-626,-828,1496
-578,-820,1378
-500,-648,1251
-443,-519,1115
-380,-410,917
-390,-224,832
-345,-265,572
-275,-296,501
-308,-228,582
-271,-82,539
-261,-150,697
-314,-97,675
-,-,-
-132,-185,945
-156,-164,939
-154,-189,890
-105,-140,656
-3,-205,626
-19,-226,644
-82,-207,708
-158,-246,601
-130,-33,566
-277,-380,1023
-201,-31,656
-99,-457,1298
-154,-355,1369
-208,-591,1576
-181,-529,1541
-271,-552,1628
-324,-466,1320
-248,-361,1097
-187,-281,863
-154,-302,787
-125,-210,636
-121,-226,607
-140,-160,462
-154,-195,441
-125,-208,421
-154,-224,400
-177,-148,486
-169,-93,488
-123,-140,523
-72,-203,673
-208,-435,966
-236,-466,953
-359,-740,1365
-421,-744,1365
-425,-810,1386
-511,-740,1408
-498,-593,1207
-427,-486,1109
-373,-470,1025
-380,-343,1031
-394,-353,947
-380,-363,802
-369,-306,732
-279,-287,527
-294,-210,810
-371,-121,613
-240,-175,667
-248,-222,738
-,-,-
-68,-162,974
-105,-218,933
-97,-119,945
-156,-158,982
-162,-150,921
-130,-83,880
