-72,-263,652
-234,-242,945
-367,-501,818
-423,-175,921
-498,-263,992
-517,-111,986
-423,-152,935
-369,-212,916
-,-,-
-119,-107,873
-95,-54,843
-162,-167,857
-210,-105,738
-275,-113,730
-246,-44,587
-263,-76,748
-298,748,791
-232,-56,748
-177,-39,927
-210,-113,863
-156,-232,992
-99,-263,1097
-23,-269,1089
60,-271,1201
3,-316,1318
76,-296,1148
58,-343,1212
41,-279,1091
48,-333,994
54,-326,876
82,-275,810
50,-201,802
9,-187,697
-134,-253,898
-281,-222,898
-328,-279,798
-421,191,896
-443,-138,927
-363,-232,875
-378,-166,1066
-335,-251,892
-277,-232,902
-234,-345,910
-,-,-
-125,115,986
-134,114,945
-136,-11,927
-175,-39,773
-171,-21,720
-248,748,652
-261,-48,683
-316,-64,703
-230,250,771
-271,601,878
-234,-17,974
-136,-44,937
-125,-175,964
-56,-107,960
-60,-148,1003
-19,-199,1171
37,-273,1138
99,-136,1125
173,-375,1179
214,-384,1025
218,-287,996
105,-234,964
68,-115,798
-60,-105,925
-125,-113,716
-171,-376,982
-236,-87,789
-289,-181,968
-343,-310,894
-298,-218,910
-289,-222,921
-265,-244,947
-,-,-
-123,-95,833
-134,-134,746
-199,-42,707
-330,-177,744
-310,-70,646
-304,-105,773
-330,130,814
-201,-48,728
-158,-160,1001
-212,-199,1013
-31,-56,974
-50,-289,1050
-7,-238,1107
76,-128,1113
44,-212,1109
89,-113,1068
78,-324,1128
58,-214,1039
74,-248,931
68,-248,937
5,-234,976
1,-234,861
-13,-175,906
-83,-238,792
-130,-267,835
-263,-470,1005
-406,-146,1015
-425,-140,978
-435,-191,933
-343,-191,808
-,-,-
-171,-11,839
-201,-52,751
-246,-140,755
-322,-50,666
-240,-50,675
-281,-17,732
-205,335,716
-230,930,839
-201,-35,851
-107,-33,1019
-261,-279,1171
-99,-111,1132
-101,-123,1292
-37,-369,1105
167,-193,992
144,-271,972
146,-181,974
97,-341,1031
72,-189,875
56,-158,865
0,-160,898
-70,-5,873
-117,-419,859
-283,763,949
-359,-437,1021
-404,-226,958
-400,-214,976
-406,-189,947
-375,-205,925
-322,-253,878
-246,-212,882
-,-,-
-113,-107,794
-218,-148,820
-312,-136,722
-302,-119,662
-259,-158,695
-212,112,669
-212,-125,701
-164,-152,892
-226,-52,878
-201,-369,992
-128,-144,1068
-130,-400,1232
3,-265,1142
56,-433,1292
183,-357,1021
240,-353,1052
208,-507,994
160,-353,976
91,-291,927
37,-156,919
-9,-398,859
-50,-134,736
-160,-255,855
-228,-482,855
-400,-195,962
-480,-242,890
-417,-177,921
-394,-269,953
-,-,-
-113,-66,890
-148,-113,927
-166,-101,769
-210,-111,707
-281,-199,714
-269,-82,554
-287,-105,578
-265,825,615
-179,103,673
-351,-99,996
-322,-48,960
-208,158,1160
-226,-453,1148
68,-244,1207
-64,-429,1552
62,-421,1111
158,-423,1230
50,-375,1138
97,-365,943
54,-291,984
33,-388,763
-62,-193,957
-167,-369,826
